m.z,mode,p.value,t.score
84.08076,positive,0.293883415,-0.23
280.26351,positive,0.048371518,0.28
282.27915,positive,0.058016544,0.3
518.49313,positive,0.001771033,0.59
520.50894,positive,0.850686858,-0.25
722.51215,positive,0.01672424,0.31
748.52783,positive,0.006784682,0.26
76.03932,positive,0.007955242,-0.29
76.07569,positive,0.062212996,-0.45
83.06036,positive,0.0012101,-0.71
83.06036,positive,0.742427202,0.12
104.07061,positive,0.000735898,-0.34
86.06002,positive,0.837278259,-0.25
90.05495,positive,1.73E-06,-0.63
90.05493,positive,0.0162134,-0.31
110.02702,positive,0.000271165,-0.61
97.02839,positive,0.013413624,-0.54
120.06552,positive,0.110532443,-0.33
102.12771,positive,0.033959212,-0.23
104.10698,positive,0.000141679,-1.25
114.06617,positive,0.453819119,-0.1
116.07059,positive,0.002531811,-0.43
131.11789,positive,0.079791212,-0.27
117.06586,positive,0.000485779,-0.86
123.05529,positive,0.473308617,-0.21
128.07061,positive,0.019529904,-0.42
128.0706,positive,0.3068359,-0.2
132.10191,positive,0.248881495,-0.18
132.10191,positive,0.268198075,-0.22
131.0815,positive,0.001493414,-1.17
131.11789,positive,0.019520974,-0.39
132.07675,positive,0.00144468,-0.54
132.06552,positive,0.150808536,-0.1
144.10193,positive,0.000207222,-0.8
147.07642,positive,0.1136006,-0.18
146.02704,positive,0.603504732,-0.17
148.06045,positive,9.56E-05,-0.55
146.11757,positive,0.000234918,-0.8
146.09246,positive,0.00014771,-0.75
146.11757,positive,0.981433892,0.16
146.08119,positive,0.11346052,-0.31
148.0427,positive,0.162933352,-0.55
148.04269,positive,0.107812873,-0.4
148.09681,positive,0.178616417,0.3
168.06551,positive,0.092727369,-0.18
175.11894,positive,0.209374376,-0.18
158.11756,positive,0.002915978,-0.68
160.04266,positive,0.965377104,0.18
160.09684,positive,0.52598616,-0.22
160.13321,positive,0.000175727,-0.79
162.0761,positive,0.000114482,-0.76
162.0761,positive,0.026381018,-0.46
162.11245,positive,0.000236492,-0.72
164.07398,positive,0.924291224,0.16
166.04983,positive,0.970188172,0
167.09273,positive,0.440285862,-0.13
170.08117,positive,0.630081586,-0.07
168.07675,positive,0.012616231,-0.61
170.05766,positive,0.002969619,-0.81
170.0924,positive,0.301854311,-0.12
171.07643,positive,0.354401999,-0.15
174.08735,positive,0.125756362,-0.28
175.07131,positive,0.002118631,-1.33
175.1077,positive,0.135019826,-0.4
175.14409,positive,0.235736741,-0.27
176.07061,positive,0.89202553,-0.27
176.09174,positive,0.00389174,-0.77
176.09177,positive,0.001232533,-0.66
176.99473,positive,0.060508312,-0.25
178.08625,positive,0.000295197,-0.67
178.13385,positive,0.985006735,-0.02
182.08114,positive,0.072019793,-0.28
180.10189,positive,0.836680294,0.3
184.07329,positive,0.839345686,-0.02
184.0968,positive,0.010172796,-0.46
184.0968,positive,0.026832348,-0.36
188.17573,positive,0.123608851,-0.34
191.06624,positive,0.961911354,0.02
189.08696,positive,0.000978021,-1.11
189.08697,positive,0.005196321,-0.61
189.13459,positive,0.20952179,-0.19
189.1346,positive,0.016559952,-0.36
189.15974,positive,0.028858872,-0.4
192.06552,positive,0.068511248,-0.67
194.04478,positive,0.229316345,-0.12
198.0873,positive,0.531639942,-0.16
198.08731,positive,0.320514158,-0.24
196.09682,positive,0.675426794,0.05
198.08734,positive,0.000253046,3.04
203.05261,positive,0.000527685,-0.52
219.09754,positive,0.006441925,-0.3
203.05263,positive,0.86540378,0.46
203.13902,positive,0.040753954,-0.5
203.15023,positive,0.028981611,-0.43
204.09787,positive,0.00091216,5.2
204.12301,positive,0.002146209,-0.65
206.13869,positive,0.926510544,-0.25
204.13424,positive,0.904956676,0.16
205.08193,positive,0.379270801,0.25
209.09208,positive,0.46705318,-0.14
211.14403,positive,0.030226166,-0.3
211.16927,positive,0.272253076,-0.08
212.04312,positive,0.00030155,-0.92
215.13906,positive,0.000836313,-0.7
216.06314,positive,0.001300379,-0.72
217.1295,positive,7.21E-06,1.44
218.13864,positive,0.000150329,-0.77
218.18628,positive,0.000747314,-0.53
219.00532,positive,0.000369413,-1.05
219.07641,positive,3.88E-05,2.14
219.21073,positive,0.911029886,0.63
223.10772,positive,0.958883325,-0.12
227.1139,positive,0.108226847,-0.32
229.11827,positive,0.430813219,-0.16
230.09577,positive,0.000474738,-0.6
230.18631,positive,0.045623904,-0.35
231.17032,positive,0.48938887,-0.14
232.15433,positive,0.010615252,-0.41
237.08084,positive,0.679325494,-0.08
239.10594,positive,0.966662739,0.11
245.18596,positive,0.9311895,0.31
245.05905,positive,0.002646671,-0.44
248.12411,positive,2.17E-08,4.19
246.14485,positive,0.000111741,3.24
246.16994,positive,0.000140208,-1.08
246.18122,positive,0.000671885,-0.72
247.09381,positive,0.275504987,-0.51
247.0938,positive,0.382822675,-0.2
247.09379,positive,0.266473677,0.27
247.0938,positive,0.004170435,-0.37
247.14011,positive,0.204766108,-0.2
248.09108,positive,0.134805481,-0.07
248.08774,positive,0.000133186,1.15
248.14927,positive,0.000782781,-1.04
251.06965,positive,0.187237714,-0.58
253.08529,positive,0.303520026,-0.46
251.0696,positive,0.127699732,0.71
253.08196,positive,0.039347597,-0.24
255.09758,positive,0.000337672,-0.84
258.11008,positive,0.004734523,-0.77
258.11013,positive,0.001154776,-1
260.1241,positive,3.84E-06,4.59
259.02136,positive,0.111624449,-1.17
259.09243,positive,0.29291055,-0.27
277.10305,positive,0.001672426,0.75
261.15579,positive,3.95E-06,3.9
278.12342,positive,0.738412524,-0.26
260.1605,positive,6.40E-07,5.46
260.16045,positive,0.08584936,-0.38
260.16055,positive,0.99696853,-0.04
260.19691,positive,0.000239047,-0.53
260.19692,positive,0.713969039,0.57
262.12853,positive,0.000332743,-0.72
262.15093,positive,0.002112905,1.43
262.16491,positive,0.000268965,-0.68
264.11902,positive,0.000286348,4.74
265.11178,positive,0.068450404,-0.22
266.0884,positive,0.358278112,-0.13
266.86568,positive,0.009869561,-0.87
268.104,positive,0.084454018,-0.42
270.27917,positive,0.61651048,-0.08
271.07473,positive,0.013288281,-0.62
291.12996,positive,0.017302695,-0.38
274.27411,positive,0.851333638,0.25
274.18738,positive,0.004996216,1.43
277.08943,positive,0.003808648,-0.57
275.17144,positive,3.69E-05,5.06
276.15542,positive,0.041682789,0.6
276.18059,positive,0.020968175,-0.93
277.11431,positive,4.89E-07,3.13
278.09829,positive,6.35E-05,3.6
281.14959,positive,0.698199459,0.09
279.1704,positive,0.021582307,1.07
282.11837,positive,0.00801189,-1.22
283.07471,positive,0.000732753,-0.58
286.13977,positive,0.003052569,3.77
286.17614,positive,3.65E-06,7.21
288.11904,positive,2.06E-07,6.26
306.07548,positive,0.160270585,-0.11
288.20303,positive,0.096046703,0.61
288.21698,positive,0.145250411,0.24
335.10604,positive,0.302324786,-0.47
289.16194,positive,1.21E-05,4.63
289.1619,positive,6.50E-07,3.78
309.12928,positive,0.159469242,-0.38
291.12996,positive,8.42E-11,5.15
294.14495,positive,0.046690313,1.24
298.09686,positive,0.015345009,-0.24
298.09686,positive,0.00442227,-0.55
302.13471,positive,1.41E-06,7.81
302.17109,positive,2.22E-10,6.46
302.17108,positive,1.57E-13,6.39
302.3054,positive,0.150894547,0.46
302.3054,positive,0.902328564,-0.01
349.1176,positive,0.000802566,-0.73
303.17758,positive,3.30E-09,5.19
303.17758,positive,5.22E-07,4.64
304.11413,positive,4.87E-07,3.59
304.16157,positive,1.34E-06,2.48
613.15942,positive,0.053636244,-0.69
305.09799,positive,0.006134615,-0.64
305.18198,positive,8.40E-07,4.64
306.16589,positive,2.45E-07,4.04
307.11112,positive,0.355762129,-0.15
307.22683,positive,0.695693411,0.53
310.17618,positive,3.72E-06,5.39
316.15031,positive,2.32E-05,7.26
