Query.Mass,Matched.Compound,Matched.Form,Mass.Diff,Pathway.Name,Pathway.ID,Pathway.Compound.Total,Pathway.Match.By,Matched.Compound.Name,p.value,t.score,pos_inx,Feature.ID
104.07061,C00334,M+H [1+],3.39999999994234e-05,"Alanine, aspartate and glutamate metabolism","",28,Matched.Compound,gamma-Aminobutyric acid,0.000735898,-0.34,TRUE,104.07061
131.04623,C00152,M-H [1-],5.99999998485146e-06,"Alanine, aspartate and glutamate metabolism","",28,Matched.Compound,L-Asparagine,0.139935869,-0.11,FALSE,131.04623
132.03023,C00049,M-H [1-],5.99999998485146e-06,"Alanine, aspartate and glutamate metabolism","",28,Matched.Compound,L-Aspartic acid,0.005455575,-0.61,FALSE,132.03023
132.03023,C00402,M-H [1-],5.99999998485146e-06,"Alanine, aspartate and glutamate metabolism","",28,Matched.Compound,D-Aspartic acid,0.005455575,-0.61,FALSE,132.03023
145.01429,C00026,M-H [1-],6.59999999754746e-05,"Alanine, aspartate and glutamate metabolism","",28,Matched.Compound,Oxoglutaric acid,3.65e-05,-0.73,FALSE,145.01429
146.04588,C00025,M-H [1-],4.40000000025975e-05,"Alanine, aspartate and glutamate metabolism","",28,Matched.Compound,Glutamic acid,4.78e-07,2.79,FALSE,146.04588
147.07642,C00064,M+H [1+],4.40000000310192e-05,"Alanine, aspartate and glutamate metabolism","",28,Matched.Compound,Glutamine,0.1136006,-0.18,TRUE,147.07642
148.06045,C00025,M+H [1+],2.59999999911997e-05,"Alanine, aspartate and glutamate metabolism","",28,Matched.Compound,Glutamic acid,9.56e-05,-0.55,TRUE,148.06045
174.04079,C01042,M-H [1-],3.40000000278451e-05,"Alanine, aspartate and glutamate metabolism","",28,Matched.Compound,N-Acetyl-L-aspartic acid,0.990113793,0.06,FALSE,174.04079
175.03603,C00438,M-H [1-],6.00000001327317e-06,"Alanine, aspartate and glutamate metabolism","",28,Matched.Compound,Ureidosuccinic acid,0.880795446,-0.61,FALSE,175.03603
191.01972,C00158,M-H [1-],3.99999998990097e-06,"Alanine, aspartate and glutamate metabolism","",28,Matched.Compound,Citric acid,0.002958972,-0.72,FALSE,191.01972
191.01973,C00158,M-H [1-],6.00000001327317e-06,"Alanine, aspartate and glutamate metabolism","",28,Matched.Compound,Citric acid,0.292059975,-0.57,FALSE,191.01973
