"","Pathway_Total","Hits","P_val","P_adj","NES",""
"Biosynthesis of unsaturated fatty acids","36","4","0.02597","1","1.617","C00249;C01530;C00712;C01595"
"Cysteine and methionine metabolism","33","10","0.1596","1","1.346","C00170;C00019;C00065;C00606;C11537;C21015;C02356;C00022;C21016;C00197"
"Glycerophospholipid metabolism","13","5","0.1875","1","-1.425","C00111;C00307;C00093;C00570;C01233"
"Linoleic acid metabolism","4","1","0.1951","1","1.179","C01595"
"Mannose type O-glycan biosynthesis","3","2","0.2","1","-1.21","C00789;C00063"
"Fatty acid biosynthesis","9","4","0.2208","1","1.247","C00024;C00249;C06424;C02679"
"Riboflavin metabolism","4","2","0.2456","1","1.144","C00255;C00016"
"One carbon pool by folate","26","10","0.25","1","-1.261","C00504;C00037;C00365;C00002;C00019;C01026;C00213;C00065;C00364;C00212"
"Drug metabolism - other enzymes","28","1","0.2787","1","-1.136","C16622"
"Vitamin B6 metabolism","9","3","0.3088","1","1.173","C00314;C00250;C00847"
"Porphyrin metabolism","29","4","0.3117","1","1.195","C00037;C00931;C00430;C00025"
"Ascorbate and aldarate metabolism","8","5","0.3125","1","-1.131","C00137;C00029;C00167;C00800;C00818"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","4","1","0.3171","1","1.11","C00249"
"Histidine metabolism","16","7","0.4444","1","1.029","C00025;C00135;C00386;C01152;C00439;C05828;C00049"
"Nitrogen metabolism","6","2","0.4561","1","1.029","C00025;C00064"
"Terpenoid backbone biosynthesis","14","1","0.5574","1","-0.9739","C00024"
"Fatty acid degradation","35","5","0.5698","1","0.898","C00024;C00136;C00249;C02990;C00010"
"Phenylalanine metabolism","8","2","0.5965","1","0.9321","C00079;C00082"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","2","0.5965","1","0.9321","C00079;C00082"
"Fatty acid elongation","28","3","0.7647","1","0.8084","C00024;C00136;C00249"
"Butanoate metabolism","15","6","0.7753","1","0.7518","C00024;C00334;C00025;C00136;C00026;C02630"
"Taurine and hypotaurine metabolism","8","5","0.8125","1","-0.7239","C00519;C00606;C00245;C05844;C05122"
"Glutathione metabolism","19","7","0.8222","1","0.6876","C00051;C00127;C00037;C00669;C00025;C01879;C00024"
"beta-Alanine metabolism","21","9","0.828","1","0.6708","C01013;C00222;C00099;C00049;C02642;C00386;C00024;C00106;C00135"
"Propanoate metabolism","19","4","0.84","1","-0.7789","C00099;C00222;C00024;C01013"
"Lipoic acid metabolism","17","4","0.84","1","-0.7789","C00022;C00026;C00037;C00024"
"Ubiquinone and other terpenoid-quinone biosynthesis","7","1","0.878","1","0.7743","C00082"
"Selenocompound metabolism","16","1","0.918","1","-0.7536","C00041"
"Biotin metabolism","4","1","0.9512","1","0.705","C00120"
"Nicotinate and nicotinamide metabolism","15","2","0.9778","1","-0.5974","C00049;C00153"
"Glycolysis or Gluconeogenesis","23","13","1","1","0","C00022;C00024;C00186;C00074;C00631;C00118;C00354;C00085;C00668;C00103;C00221;C00267;C00197;C00111;C01172"
"Citrate cycle (TCA cycle)","16","8","1","1","0","C00026;C00311;C00024;C00149;C00417;C00158;C00022;C00074"
"Pentose phosphate pathway","23","15","1","1","0","C00668;C01801;C00117;C00620;C00118;C05382;C00199;C00085;C00354;C00345;C01236;C01172;C00257;C00231;C00631"
"Pentose and glucuronate interconversions","18","8","1","1","0","C00167;C00029;C00103;C00800;C00199;C00231;C02266;C00789"
"Fructose and mannose metabolism","20","13","1","1","0","C00095;C00159;C00665;C00275;C02985;C01222;C00096;C00636;C00085;C00118;C01094;C00577;C00354;C01720;C00267;C00325;C00111;C03827"
