Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
291.12996,C03406,M+H [1+],8.40E-05
90.05495,C00099,M+H [1+],2.60E-05
90.05495,C00041,M+H [1+],2.60E-05
90.05495,C00213,M+H [1+],2.60E-05
219.07641,C02700,M-H2O+H [1+],3.35E-05
278.09829,C16612,M-H2O+H [1+],0.000713533
148.06045,C00025,M+H [1+],2.60E-05
148.06045,C05938,M+H [1+],2.60E-05
148.06045,C00217,M+H [1+],2.60E-05
162.0761,C00956,M+H [1+],2.40E-05
162.0761,C00329,M-H2O+H [1+],2.35E-05
146.09246,C01035,M+H [1+],8.40E-05
560.07915,C00301,M+H [1+],0.000174
110.02702,C00519,M+H [1+],5.60E-05
178.08625,C16586,M-H2O+H [1+],7.35E-05
212.04312,C02305,M+H [1+],4.40E-05
255.09758,C16584,M+H [1+],4.00E-06
255.09758,C16582,M+H [1+],4.00E-06
117.06586,C16622,M+H [1+],1.60E-05
104.07061,C01205,M+H [1+],3.40E-05
104.07061,C00334,M+H [1+],3.40E-05
104.07061,C01026,M+H [1+],3.40E-05
104.07061,C02356,M+H [1+],3.40E-05
104.07061,C03284,M+H [1+],3.40E-05
399.14455,C00019,M+H [1+],7.40E-05
216.06314,C01233,M+H [1+],3.60E-05
132.07675,C00300,M+H [1+],2.60E-05
538.08359,C00789,M+H [1+],0.000214
175.07131,C00439,M+H [1+],6.60E-05
116.07059,C00148,M+H [1+],1.40E-05
116.07059,C00763,M+H [1+],1.40E-05
298.09686,C00170,M+H [1+],1.60E-05
305.09799,C12270,M+H [1+],1.40E-05
76.03932,C00037,M+H [1+],4.40E-05
184.0968,C05589,M+H [1+],2.40E-05
184.0968,C00788,M+H [1+],2.40E-05
400.34212,C02990,M+H [1+],5.60E-05
90.05493,C00099,M+H [1+],4.60E-05
90.05493,C00041,M+H [1+],4.60E-05
90.05493,C00213,M+H [1+],4.60E-05
131.11789,C02714,M+H [1+],1.40E-05
128.07061,C00450,M+H [1+],3.40E-05
128.07061,C04076,M-H2O+H [1+],3.35E-05
128.07061,C02946,M-H2O+H [1+],3.35E-05
613.15941,C00127,M+H [1+],0.000134
458.18172,C16577,M-H2O+H [1+],0.000843533
852.18035,C02939,M+H [1+],0.000374
852.18035,C15980,M+H [1+],0.000374
189.15974,C03793,M+H [1+],3.60E-05
253.08196,C05648,M+H [1+],8.40E-05
489.11474,C00307,M+H [1+],0.000164
613.15942,C00127,M+H [1+],0.000144
282.27915,C00319,M-H2O+H [1+],7.35E-05
282.27915,C02934,M-H2O+H [1+],7.35E-05
508.00307,C00002,M+H [1+],9.40E-05
508.00307,C00286,M+H [1+],9.40E-05
192.06552,C05635,M+H [1+],4.40E-05
192.06552,C16596,M+H [1+],4.40E-05
192.06552,C16591,M-H2O+H [1+],4.35E-05
369.35159,C01189,M-H2O+H [1+],1.35E-05
369.35159,C03845,M-H2O+H [1+],1.35E-05
369.35159,C00187,M-H2O+H [1+],1.35E-05
182.08114,C00082,M+H [1+],3.60E-05
268.104,C00212,M+H [1+],7.60E-05
268.104,C00330,M+H [1+],7.60E-05
168.06551,C00250,M+H [1+],3.40E-05
227.1139,C00386,M+H [1+],2.40E-05
120.06552,C00188,M+H [1+],4.40E-05
259.02136,C01236,M+H [1+],1.60E-05
259.02136,C00345,M-H2O+H [1+],8.35E-05
146.08119,C04076,M+H [1+],1.40E-05
146.08119,C02946,M+H [1+],1.40E-05
147.07642,C00064,M+H [1+],4.40E-05
147.07642,C21029,M+H [1+],4.40E-05
147.07642,C00819,M+H [1+],4.40E-05
174.08735,C03771,M+H [1+],7.40E-05
251.0696,C00669,M+H [1+],2.40E-05
175.1077,C00437,M+H [1+],2.40E-05
132.06552,C00430,M+H [1+],4.40E-05
132.06552,C01157,M+H [1+],4.40E-05
132.06552,C01165,M+H [1+],4.40E-05
132.06552,C05147,M+H [1+],4.40E-05
132.06552,C03440,M+H [1+],4.40E-05
132.06552,C01110,M+H [1+],4.40E-05
302.3054,C00836,M+H [1+],2.40E-05
251.06965,C00669,M+H [1+],7.40E-05
175.11894,C00062,M+H [1+],3.60E-05
175.11894,C00792,M+H [1+],3.60E-05
194.04478,C01693,M+H [1+],4.00E-06
194.04478,C04185,M+H [1+],4.00E-06
132.10191,C00407,M+H [1+],3.40E-05
132.10191,C00123,M+H [1+],3.40E-05
170.0924,C01152,M+H [1+],2.40E-05
359.13504,C00255,M-H2O+H [1+],6.35E-05
128.0706,C00450,M+H [1+],2.40E-05
128.0706,C04076,M-H2O+H [1+],2.35E-05
128.0706,C02946,M-H2O+H [1+],2.35E-05
343.12352,C00089,M+H [1+],4.40E-05
343.12352,C05402,M+H [1+],4.40E-05
343.12352,C05400,M+H [1+],4.40E-05
343.12352,C01235,M+H [1+],4.40E-05
343.12352,C00243,M+H [1+],4.40E-05
343.12352,C00185,M+H [1+],4.40E-05
343.12352,C01083,M+H [1+],4.40E-05
343.12352,C00208,M+H [1+],4.40E-05
343.12352,C00252,M+H [1+],4.40E-05
266.0884,C00387,M-H2O+H [1+],2.35E-05
401.34161,C01561,M+H [1+],0.000234
401.34161,C05455,M+H [1+],0.000234
401.34161,C05453,M-H2O+H [1+],0.000233533
401.34161,C06341,M-H2O+H [1+],0.000233533
401.34161,C15520,M-H2O+H [1+],0.000233533
401.34161,C05445,M-H2O+H [1+],0.000233533
401.34161,C15518,M-H2O+H [1+],0.000233533
401.34161,C05499,M-H2O+H [1+],0.000233533
401.34161,C05501,M-H2O+H [1+],0.000233533
114.06617,C00300,M-H2O+H [1+],6.47E-06
209.09208,C00328,M+H [1+],4.00E-06
209.09208,C05647,M+H [1+],4.00E-06
209.09208,C00931,M-H2O+H [1+],3.53E-06
123.05529,C00153,M+H [1+],1.40E-05
123.05529,C05828,M-H2O+H [1+],1.35E-05
170.08117,C00547,M+H [1+],6.00E-06
170.08117,C00314,M+H [1+],6.00E-06
196.09682,C16586,M+H [1+],4.40E-05
180.10189,C05588,M-H2O+H [1+],1.35E-05
86.06002,C01205,M-H2O+H [1+],4.35E-05
86.06002,C00334,M-H2O+H [1+],4.35E-05
86.06002,C01026,M-H2O+H [1+],4.35E-05
86.06002,C02356,M-H2O+H [1+],4.35E-05
86.06002,C03284,M-H2O+H [1+],4.35E-05
176.07061,C05634,M+H [1+],3.40E-05
176.07061,C00954,M+H [1+],3.40E-05
176.07061,C16595,M-H2O+H [1+],3.35E-05
176.07061,C16587,M-H2O+H [1+],3.35E-05
166.04983,C05653,M+H [1+],4.60E-05
166.04983,C00847,M-H2O+H [1+],4.65E-05
375.13114,C00255,M-H [1-],0.000116
289.11539,C03406,M-H [1-],6.60E-05
303.08342,C12270,M-H [1-],4.00E-06
288.12012,C21016,M-H [1-],4.00E-06
146.04588,C00025,M-H [1-],4.40E-05
146.04588,C05938,M-H [1-],4.40E-05
146.04588,C00217,M-H [1-],4.40E-05
288.1201,C21016,M-H [1-],2.40E-05
160.06152,C00956,M-H [1-],4.00E-06
231.09864,C21015,M-H [1-],1.60E-05
160.06153,C00956,M-H [1-],6.00E-06
130.05098,C00430,M-H [1-],5.60E-05
130.05098,C01157,M-H [1-],5.60E-05
130.05098,C01165,M-H [1-],5.60E-05
130.05098,C05147,M-H [1-],5.60E-05
130.05098,C03440,M-H [1-],5.60E-05
130.05098,C01110,M-H [1-],5.60E-05
130.05097,C00430,M-H [1-],4.60E-05
130.05097,C01157,M-H [1-],4.60E-05
130.05097,C01165,M-H [1-],4.60E-05
130.05097,C05147,M-H [1-],4.60E-05
130.05097,C03440,M-H [1-],4.60E-05
130.05097,C01110,M-H [1-],4.60E-05
145.01429,C00026,M-H [1-],6.60E-05
258.03842,C00352,M-H [1-],4.00E-06
300.04899,C00357,M-H [1-],3.40E-05
300.04899,C04501,M-H [1-],3.40E-05
300.04899,C18060,M-H [1-],3.40E-05
300.04899,C04257,M-H [1-],3.40E-05
338.98866,C00354,M-H [1-],0.000164
338.98866,C00665,M-H [1-],0.000164
338.98866,C03785,M-H [1-],0.000164
338.98866,C01231,M-H [1-],0.000164
338.98866,C01220,M-H [1-],0.000164
338.98866,C04063,M-H [1-],0.000164
338.98866,C04062,M-H [1-],0.000164
259.02242,C00085,M-H [1-],4.00E-06
259.02242,C00668,M-H [1-],4.00E-06
259.02242,C00103,M-H [1-],4.00E-06
259.02242,C01172,M-H [1-],4.00E-06
259.02242,C00275,M-H [1-],4.00E-06
259.02242,C00636,M-H [1-],4.00E-06
259.02242,C01094,M-H [1-],4.00E-06
259.02242,C01097,M-H [1-],4.00E-06
259.02242,C00446,M-H [1-],4.00E-06
259.02242,C00092,M-H [1-],4.00E-06
259.02242,C03546,M-H [1-],4.00E-06
259.02242,C04006,M-H [1-],4.00E-06
259.02242,C01177,M-H [1-],4.00E-06
302.05177,C20775,M-H2O-H [1-],0.00056
241.01188,C00085,M-H2O-H [1-],0.00057
241.01188,C00668,M-H2O-H [1-],0.00057
241.01188,C00103,M-H2O-H [1-],0.00057
241.01188,C01172,M-H2O-H [1-],0.00057
241.01188,C00275,M-H2O-H [1-],0.00057
241.01188,C00636,M-H2O-H [1-],0.00057
241.01188,C01094,M-H2O-H [1-],0.00057
241.01188,C01097,M-H2O-H [1-],0.00057
241.01188,C00446,M-H2O-H [1-],0.00057
241.01188,C00092,M-H2O-H [1-],0.00057
241.01188,C03546,M-H2O-H [1-],0.00057
241.01188,C04006,M-H2O-H [1-],0.00057
241.01188,C01177,M-H2O-H [1-],0.00057
606.07411,C00043,M-H [1-],0.000214
606.07411,C00203,M-H [1-],0.000214
308.09872,C00270,M-H [1-],4.00E-06
168.98122,C11537,M-H [1-],4.00E-06
171.0064,C00093,M-H [1-],2.40E-05
505.98827,C00002,M-H [1-],0.000154
505.98827,C00286,M-H [1-],0.000154
333.05926,C19562,M-H2O-H [1-],0.00075
124.00741,C00245,M-H [1-],1.40E-05
195.05101,C00257,M-H [1-],1.40E-05
195.05101,C00800,M-H [1-],1.40E-05
253.09289,C05401,M-H [1-],3.40E-05
346.05571,C00020,M-H [1-],0.000114
346.05571,C00362,M-H [1-],0.000114
195.05102,C00257,M-H [1-],4.00E-06
195.05102,C00800,M-H [1-],4.00E-06
442.01703,C00035,M-H [1-],6.00E-06
179.0561,C00221,M-H [1-],2.40E-05
179.0561,C00267,M-H [1-],2.40E-05
179.0561,C00095,M-H [1-],2.40E-05
179.0561,C00159,M-H [1-],2.40E-05
179.0561,C01720,M-H [1-],2.40E-05
179.0561,C00124,M-H [1-],2.40E-05
179.0561,C00984,M-H [1-],2.40E-05
179.0561,C00031,M-H [1-],2.40E-05
179.0561,C00137,M-H [1-],2.40E-05
604.06993,C00096,M-H [1-],6.00E-06
173.00915,C00417,M-H [1-],2.60E-05
341.10885,C00089,M-H [1-],7.40E-05
341.10885,C05402,M-H [1-],7.40E-05
341.10885,C05400,M-H [1-],7.40E-05
341.10885,C01235,M-H [1-],7.40E-05
341.10885,C00243,M-H [1-],7.40E-05
341.10885,C00185,M-H [1-],7.40E-05
341.10885,C01083,M-H [1-],7.40E-05
341.10885,C00208,M-H [1-],7.40E-05
341.10885,C00252,M-H [1-],7.40E-05
521.98338,C00044,M-H [1-],4.40E-05
521.98338,C05922,M-H2O-H [1-],0.00057
521.98338,C21310,M-H [1-],4.40E-05
481.97723,C00063,M-H [1-],6.00E-06
147.02987,C02266,M-H [1-],5.40E-05
147.02987,C02630,M-H [1-],5.40E-05
480.98195,C00459,M-H [1-],7.40E-05
808.11823,C00024,M-H [1-],0.000294
558.06425,C00301,M-H [1-],0.000174
445.05305,C00570,M-H [1-],7.40E-05
191.01972,C00311,M-H [1-],4.00E-06
191.01972,C00158,M-H [1-],4.00E-06
191.01972,C00818,M-H2O-H [1-],0.00051
535.03714,C00190,M-H [1-],8.40E-05
665.21451,C01613,M-H [1-],0.000114
306.07649,C00051,M-H [1-],3.40E-05
253.04997,C05844,M-H [1-],5.40E-05
