Query.Mass,Matched.Compound,Matched.Form,Mass.Diff,Pathway.Name,Pathway.ID,Pathway.Compound.Total,Pathway.Match.By,Matched.Compound.Name,p.value,t.score,pos_inx,Feature.ID
766.1079,C00010,M-H [1-],2.39999999394058e-05,3-oxo-10R-octadecatrienoate beta-oxidation,mfn1v10path103,27,Matched.Compound,Coenzyme A,0.074613198,-0.44,FALSE,766.1079
808.11823,C00024,M-H [1-],0.000293999999939842,3-oxo-10R-octadecatrienoate beta-oxidation,mfn1v10path103,27,Matched.Compound,Acetyl-CoA,0.002146583,-0.66,FALSE,808.11823
131.04623,C00152,M-H [1-],5.99999998485146e-06,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,L-Asparagine,0.139935869,-0.11,FALSE,131.04623
132.03023,C00049,M-H [1-],5.99999998485146e-06,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,L-Aspartic acid,0.005455575,-0.61,FALSE,132.03023
132.03023,C00402,M-H [1-],5.99999998485146e-06,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,D-Aspartic acid,0.005455575,-0.61,FALSE,132.03023
145.01429,C00026,M-H [1-],6.59999999754746e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,Oxoglutaric acid,3.65e-05,-0.73,FALSE,145.01429
146.04588,C00025,M-H [1-],4.40000000025975e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,Glutamic acid,4.78e-07,2.79,FALSE,146.04588
147.07642,C00064,M+H [1+],4.40000000310192e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,Glutamine,0.1136006,-0.18,TRUE,147.07642
148.06045,C00025,M+H [1+],2.59999999911997e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,Glutamic acid,9.56e-05,-0.55,TRUE,148.06045
174.04079,C01042,M-H [1-],3.40000000278451e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,N-Acetyl-L-aspartic acid,0.990113793,0.06,FALSE,174.04079
175.11894,C00062,M+H [1+],3.59999999943739e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,L-Arginine,0.209374376,-0.18,TRUE,175.11894
289.11539,C03406,M-H [1-],6.60000000038963e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,Argininosuccinic acid,6.44e-14,6.53,FALSE,289.11539
291.12996,C03406,M+H [1+],8.40000000152941e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,Argininosuccinic acid,8.42e-11,5.15,TRUE,291.12996
346.05571,C00020,M-H [1-],0.000114000000053238,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,Adenosine monophosphate,0.00068178,-0.77,FALSE,346.05571
76.03932,C00037,M+H [1+],4.40000000025975e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,Glycine,0.007955242,-0.29,TRUE,76.03932
766.1079,C00010,M-H [1-],2.39999999394058e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,Coenzyme A,0.074613198,-0.44,FALSE,766.1079
808.11823,C00024,M-H [1-],0.000293999999939842,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,Acetyl-CoA,0.002146583,-0.66,FALSE,808.11823
87.00877,C00022,M-H [1-],4.5999999997548e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,Pyruvic acid,0.18021595,-0.15,FALSE,87.00877
90.05493,C00041,M+H [1+],4.60000000117589e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,L-Alanine,0.0162134,-0.31,TRUE,90.05493
