,Pathway total,Hits.total,Hits.sig,Expected,P(Fisher),P(EASE),P(Gamma),Emp.Hits,Empirical,AdjP.Fisher,AdjP.EASE,AdjP.Gamma,Pathway Number,cpd.hits,,,,,,,,,,,
Aspartate and asparagine metabolism,114,39,7,0.75975,0.0014709,0.0061176,0.0037121,0,0,0.0397143,0.1651752,0.1002267,P1,C00025,C03440,C05938,C04540,C01157,C03415,C01165,,,C00025,glutamic acid,not correct
Alanine and Aspartate Metabolism,30,17,4,0.19993,0.0071474,0.040522,0.0041249,0,0,0.1858324,1,0.1072474,P2,C00025,C00041,C00099,C03406,C00133,,,,,C03440,D hydroxyprolin,not correct
Arginine and Proline Metabolism,45,20,4,0.2999,0.013173,0.061982,0.0044069,0,0,0.329325,1,0.1101725,P3,C00025,C03406,C01157,C05938,C01165,,,,,C05938,hydroxy gutamate semialdehyde ,not correct
Urea cycle/amino group metabolism,85,23,4,0.56648,0.021796,0.087868,0.0047749,2,0.02,0.523104,1,0.1145976,P4,C00025,C03406,C01165,C00213,,,,,,C04540,N4-(acetyl-beta-D-glucosaminyl)asparagine,maybe
Glutathione Metabolism,19,8,2,0.12662,0.055534,0.32488,0.010205,5,0.05,1,1,0.234715,P5,C00025,C00041,,,,,,,,C01157,L- hydroxyproline,not correct
Glutamate metabolism,15,9,2,0.099967,0.069276,0.3576,0.011385,3,0.03,1,1,0.25047,P6,C00025,C00041,,,,,,,,C03415,N2-succinyl-L-ornithine,maybe
Beta-Alanine metabolism,20,10,2,0.13329,0.084024,0.38881,0.012652,4,0.04,1,1,0.265692,P7,C00025,C00099,,,,,,,,C01165,glutamate 5-semialdehyde,not correct
"Glycine, serine, alanine and threonine metabolism",88,28,3,0.58647,0.15671,0.39023,0.012713,10,0.1,1,1,0.265692,P8,C00025,C00041,C00430,C00213,C00133,,,,,C00041,L-alanine ,not correct
Histidine metabolism,33,13,2,0.21993,0.13311,0.47407,0.017007,6,0.06,1,1,0.323133,P9,C00025,C00099,,,,,,,,C00099,beta-alanine ,not correct
Lysine metabolism,52,17,2,0.34655,0.20608,0.57034,0.02414,9,0.09,1,1,0.43452,P10,C00025,C00956,,,,,,,,C03406,Argininosuccinic acid ,not correct
Tryptophan metabolism,94,22,2,0.62646,0.30231,0.66731,0.035213,6,0.06,1,1,0.598621,P11,C00025,C00041,,,,,,,,C00133,D- Alanine,not correct
Pyrimidine metabolism,70,30,2,0.46651,0.45249,0.78065,0.057624,31,0.31,1,1,0.921984,P12,C00025,C00099,C00041,,,,,,,C00213,Sarcosine,not correct
Tyrosine metabolism,160,33,2,1.0663,0.50478,0.81282,0.067355,14,0.14,1,1,1,P13,C00025,C00041,,,,,,,,C00430,5-Aminolevulinate,
Putative anti-Inflammatory metabolites formation from EPA,27,2,1,0.17994,0.097619,1,1,5,0.05,1,1,1,P14,C00025,,,,,,,,,C00956,L-2-Aminoadipate,
Vitamin B2 (riboflavin) metabolism,8,3,1,0.053316,0.14296,1,1,5,0.05,1,1,1,P15,C00255,,,,,,,,,C00302,"Glutamate, Glutaminic acid",
Vitamin B9 (folate) metabolism,33,8,1,0.21993,0.33905,1,1,19,0.19,1,1,1,P16,C00025,,,,,,,,,C00255,Riboflavin,
"Valine, leucine and isoleucine degradation",65,16,1,0.43319,0.56696,1,1,11,0.11,1,1,1,P17,C00025,,,,,,,,,,,
Butanoate metabolism,34,11,1,0.22659,0.43538,1,1,27,0.27,1,1,1,P18,C00025,,,,,,,,,,,
Vitamin B3 (nicotinate and nicotinamide) metabolism,28,9,1,0.1866,0.37277,1,1,18,0.18,1,1,1,P19,C00025,,,,,,,,,,,
Purine metabolism,80,21,1,0.53316,0.66905,1,1,35,0.35,1,1,1,P20,C00025,,,,,,,,,,,
Arachidonic acid metabolism,95,8,1,0.63312,0.33905,1,1,14,0.14,1,1,1,P21,C00025,,,,,,,,,,,
Porphyrin metabolism,43,9,1,0.28657,0.37277,1,1,26,0.26,1,1,1,P22,C00430,,,,,,,,,,,
Leukotriene metabolism,92,6,1,0.61313,0.26637,1,1,12,0.12,1,1,1,P23,C00302,,,,,,,,,,,
Nitrogen metabolism,6,4,1,0.039987,0.18614,1,1,6,0.06,1,1,1,P24,C00025,,,,,,,,,,,
Aminosugars metabolism,69,23,1,0.45985,0.7031,1,1,29,0.29,1,1,1,P25,C00025,,,,,,,,,,,
Methionine and cysteine metabolism,94,21,1,0.62646,0.66905,1,1,42,0.42,1,1,1,P26,C00025,C00302,,,,,,,,,,
Selenoamino acid metabolism,35,4,1,0.23326,0.18614,1,1,8,0.08,1,1,1,P27,C00041,,,,,,,,,,,
