Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
90.05495,C00099,M+H [1+],2.60000000054106e-05
90.05495,C00041,M+H [1+],2.60000000054106e-05
90.05495,C00213,M+H [1+],2.60000000054106e-05
146.09246,C01035,M+H [1+],8.39999999868724e-05
305.09799,C12270,M+H [1+],1.39999999646534e-05
209.09208,C00328,M+H [1+],4.00000001832268e-06
209.09208,C05647,M+H [1+],4.00000001832268e-06
209.09208,C00931,M-H2O+H [1+],3.53323000013006e-06
560.07915,C00301,M+H [1+],0.00017400000001544
219.07641,C02700,M-H2O+H [1+],3.35332300096525e-05
253.08196,C05648,M+H [1+],8.40000000152941e-05
255.09758,C16584,M+H [1+],3.99999998990097e-06
255.09758,C16582,M+H [1+],3.99999998990097e-06
110.02702,C00519,M+H [1+],5.6000000014933e-05
216.06314,C01233,M+H [1+],3.59999999943739e-05
399.14455,C00019,M+H [1+],7.39999999836982e-05
162.0761,C00956,M+H [1+],2.39999999962492e-05
162.0761,C00329,M-H2O+H [1+],2.35332300064783e-05
132.07675,C00300,M+H [1+],2.59999999911997e-05
613.15941,C00127,M+H [1+],0.000133999999889056
175.07131,C00439,M+H [1+],6.59999999754746e-05
117.06586,C16622,M+H [1+],1.60000000022364e-05
192.06552,C05635,M+H [1+],4.40000000025975e-05
192.06552,C16596,M+H [1+],4.40000000025975e-05
192.06552,C16591,M-H2O+H [1+],4.35332299844049e-05
184.0968,C05589,M+H [1+],2.4000000024671e-05
184.0968,C00788,M+H [1+],2.4000000024671e-05
291.12996,C03406,M+H [1+],8.40000000152941e-05
178.08625,C16586,M-H2O+H [1+],7.3533230022349e-05
298.09686,C00170,M+H [1+],1.60000000164473e-05
116.07059,C00148,M+H [1+],1.39999999930751e-05
116.07059,C00763,M+H [1+],1.39999999930751e-05
146.08119,C04076,M+H [1+],1.39999999930751e-05
146.08119,C02946,M+H [1+],1.39999999930751e-05
282.27915,C00319,M-H2O+H [1+],7.3533230022349e-05
282.27915,C02934,M-H2O+H [1+],7.3533230022349e-05
131.11789,C02714,M+H [1+],1.39999999930751e-05
168.06551,C00250,M+H [1+],3.39999999994234e-05
148.06045,C00025,M+H [1+],2.59999999911997e-05
148.06045,C05938,M+H [1+],2.59999999911997e-05
148.06045,C00217,M+H [1+],2.59999999911997e-05
90.05493,C00099,M+H [1+],4.60000000117589e-05
90.05493,C00041,M+H [1+],4.60000000117589e-05
90.05493,C00213,M+H [1+],4.60000000117589e-05
104.07061,C01205,M+H [1+],3.39999999994234e-05
104.07061,C00334,M+H [1+],3.39999999994234e-05
104.07061,C01026,M+H [1+],3.39999999994234e-05
104.07061,C02356,M+H [1+],3.39999999994234e-05
104.07061,C03284,M+H [1+],3.39999999994234e-05
508.00307,C00002,M+H [1+],9.39999999900465e-05
508.00307,C00286,M+H [1+],9.39999999900465e-05
359.13504,C00255,M-H2O+H [1+],6.35332299907532e-05
189.15974,C03793,M+H [1+],3.59999999943739e-05
458.18172,C16577,M-H2O+H [1+],0.000843533230010962
302.3054,C00836,M+H [1+],2.40000000530927e-05
227.1139,C00386,M+H [1+],2.4000000024671e-05
