"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Alanine, aspartate and glutamate metabolism","28","16","7","0.92281","0.0021606","0.010183","0.001147","0","0","0.0669786","0.315673","0.035557","P1","C01042;C00049;C00402;C00041;C12270;C00026;C00352;C20775"
"Tryptophan metabolism","41","11","3","1.3513","0.17306","0.43583","0.0058385","1","0.01","1","1","0.175155","P2","C00643;C02700;C00328;C05647"
"Pantothenate and CoA biosynthesis","18","7","2","0.59324","0.24017","0.63064","0.013521","9","0.09","1","1","0.392109","P3","C00049;C00099"
"Pentose and glucuronate interconversions","18","8","2","0.59324","0.29412","0.68033","0.017071","15","0.15","1","1","0.477988","P4","C00103;C00800"
"Arginine biosynthesis","14","8","2","0.46141","0.29412","0.68033","0.017071","12","0.12","1","1","0.477988","P5","C00049;C00026"
"beta-Alanine metabolism","21","9","2","0.69211","0.34769","0.7235","0.021103","11","0.11","1","1","0.548678","P6","C00099;C00049"
"Pentose phosphate pathway","23","15","2","0.75802","0.62648","0.88561","0.054221","36","0.36","1","1","1","P7","C00668;C00085;C01172;C00257"
"Amino sugar and nucleotide sugar metabolism","39","27","3","1.2853","0.73833","0.89805","0.059387","23","0.23","1","1","1","P8","C00446;C00103;C00352;C00275;C00636;C00668;C00085;C00190"
"Galactose metabolism","27","21","2","0.88985","0.80681","0.95369","0.097691","9","0.09","1","1","1","P9","C01097;C05401;C00103;C00446;C00668"
"Glycolysis or Gluconeogenesis","23","15","1","0.75802","0.89261","1","1","61","0.61","1","1","1","P10","C00085;C00668;C00103;C01172"
"Citrate cycle (TCA cycle)","16","8","1","0.52732","0.69077","1","1","47","0.47","1","1","1","P11","C00026"
"Fructose and mannose metabolism","20","18","1","0.65915","0.93237","1","1","55","0.55","1","1","1","P12","C00275;C00636;C00085;C01094"
"Ascorbate and aldarate metabolism","8","5","1","0.26366","0.51774","1","1","38","0.38","1","1","1","P13","C00800"
"Purine metabolism","70","20","1","2.307","0.95047","1","1","61","0.61","1","1","1","P14","C00301"
"Pyrimidine metabolism","39","16","1","1.2853","0.9079","1","1","55","0.55","1","1","1","P15","C00099"
"Glycine, serine and threonine metabolism","30","11","1","0.98873","0.80276","1","1","64","0.64","1","1","1","P16","C00213"
"Cysteine and methionine metabolism","33","10","1","1.0876","0.77073","1","1","49","0.49","1","1","1","P17","C11537"
"Arginine and proline metabolism","35","17","1","1.1535","0.92105","1","1","75","0.75","1","1","1","P18","C01035"
"Histidine metabolism","16","7","1","0.52732","0.64119","1","1","44","0.44","1","1","1","P19","C00049"
"Selenocompound metabolism","16","1","1","0.52732","0.13475","1","1","11","0.11","1","1","1","P20","C00041"
"D-Amino acid metabolism","15","12","1","0.49436","0.83042","1","1","46","0.46","1","1","1","P21","C00402"
"Starch and sucrose metabolism","12","12","1","0.39549","0.83042","1","1","37","0.37","1","1","1","P22","C00103;C00092;C00085"
"Glycerolipid metabolism","7","5","1","0.2307","0.51774","1","1","37","0.37","1","1","1","P23","C00093"
"Inositol phosphate metabolism","21","12","1","0.69211","0.83042","1","1","38","0.38","1","1","1","P24","C00092;C03546;C04006;C01177"
"Glycerophospholipid metabolism","13","5","1","0.42845","0.51774","1","1","37","0.37","1","1","1","P25","C00093"
"Propanoate metabolism","19","4","1","0.62619","0.44139","1","1","26","0.26","1","1","1","P26","C00099"
"Butanoate metabolism","15","6","1","0.49436","0.5839","1","1","40","0.4","1","1","1","P27","C00026"
"One carbon pool by folate","26","10","1","0.8569","0.77073","1","1","51","0.51","1","1","1","P28","C00213"
"Nicotinate and nicotinamide metabolism","15","2","1","0.49436","0.25176","1","1","14","0.14","1","1","1","P29","C00049"
"Lipoic acid metabolism","17","4","1","0.56028","0.44139","1","1","27","0.27","1","1","1","P30","C00026"
"Porphyrin metabolism","29","4","1","0.95577","0.44139","1","1","36","0.36","1","1","1","P31","C00931"
