Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
90.05495,C00213,M+H [1+],2.60000000054106e-05
90.05495,C00041,M+H [1+],2.60000000054106e-05
90.05495,C00099,M+H [1+],2.60000000054106e-05
90.05495,C00133,M+H [1+],2.60000000054106e-05
146.09246,C01035,M+H [1+],8.39999999868724e-05
219.09754,C03740,M+H [1+],7.57029999931547e-06
209.09208,C00328,M+H [1+],4.00000001832268e-06
209.09208,C05647,M+H [1+],4.00000001832268e-06
209.09208,C00931,M-H2O+H [1+],3.53323000013006e-06
560.07915,C00301,M+H [1+],0.00017400000001544
218.13864,pcrn,M+H [1+],4.49999999716511e-05
219.07641,C02406,M-H2O+H [1+],2.15332300115278e-05
219.07641,C02700,M-H2O+H [1+],3.35332300096525e-05
253.08196,C05648,M+H [1+],8.40000000152941e-05
255.09758,C16582,M+H [1+],3.99999998990097e-06
255.09758,C16584,M+H [1+],3.99999998990097e-06
110.02702,C00519,M+H [1+],4.39999999883867e-05
216.06314,C01233,M+H [1+],3.59999999943739e-05
550.38689,C04598,M+H [1+],0.000174332499909724
361.27375,C13856,M-H2O+H [1+],7.3533230022349e-05
399.14455,C00019,M+H [1+],7.39999999836982e-05
162.0761,C00956,M+H [1+],2.39999999962492e-05
162.0761,C00329,M-H2O+H [1+],2.35332300064783e-05
132.07675,C00300,M+H [1+],2.59999999911997e-05
414.35786,hpdcacrn,M+H [1+],9.00000000001455e-05
613.15941,C00127,M+H [1+],0.000133999999889056
175.07131,C00439,M+H [1+],6.59999999754746e-05
117.06586,C16622,M+H [1+],1.60000000022364e-05
146.11757,C05543,M+H [1+],1.5269100003934e-05
162.11245,C00318,M+H [1+],2.59999999911997e-05
192.06552,C05635,M+H [1+],4.40000000025975e-05
192.06552,C16596,M+H [1+],4.40000000025975e-05
192.06552,C16591,M-H2O+H [1+],4.35332299844049e-05
456.40477,arachcrn,M+H [1+],3.29999999735264e-05
184.0968,C05589,M+H [1+],2.4000000024671e-05
184.0968,C00788,M+H [1+],2.4000000024671e-05
428.37341,stcrn,M+H [1+],1.60000000164473e-05
291.12996,C03406,M+H [1+],8.40000000152941e-05
178.08625,CE1918,M+H [1+],4.99999998737621e-06
178.08625,CE5629,M+H [1+],4.99999998737621e-06
178.08625,C16586,M-H2O+H [1+],7.3533230022349e-05
178.08625,CE2173,M-H2O+H [1+],3.02444300075422e-05
298.09686,C00170,M+H [1+],1.60000000164473e-05
116.07059,CE4788,M+H [1+],1.80000000113978e-05
116.07059,C00763,M+H [1+],1.39999999930751e-05
116.07059,C00148,M+H [1+],1.39999999930751e-05
288.21698,C02838,M+H [1+],3.99999998990097e-06
426.35784,elaidcrn,M+H [1+],6.99999999937972e-05
426.35784,vacccrn,M+H [1+],6.99999999937972e-05
