Query.Mass,Matched.Compound,Matched.Form,Mass.Diff,Pathway.Name,Pathway.ID,Pathway.Compound.Total,Pathway.Match.By,Matched.Compound.Name,p.value,t.score,pos_inx,Feature.ID
766.1079,C00010,M-H [1-],2.39999999394058e-05,3-oxo-10R-octadecatrienoate beta-oxidation,mfn1v10path103,27,Matched.Compound,Coenzyme A,0.003192,-1.2,FALSE,766.1079
808.11823,C00024,M-H [1-],0.000293999999939842,3-oxo-10R-octadecatrienoate beta-oxidation,mfn1v10path103,27,Matched.Compound,Acetyl-CoA,0.001821828,-0.79,FALSE,808.11823
131.04623,C00152,M-H [1-],5.99999998485146e-06,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,L-Asparagine,0.410848838,0.28,FALSE,131.04623
132.03023,C00049,M-H [1-],5.99999998485146e-06,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,L-Aspartic acid,4.41e-07,2.78,FALSE,132.03023
132.03023,C00402,M-H [1-],5.99999998485146e-06,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,D-Aspartic acid,4.41e-07,2.78,FALSE,132.03023
145.01429,C00026,M-H [1-],6.59999999754746e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,Oxoglutaric acid,1.02e-06,-1.31,FALSE,145.01429
146.04588,C00025,M-H [1-],4.40000000025975e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,Glutamic acid,0.000116605,1.04,FALSE,146.04588
147.07642,C00064,M+H [1+],4.40000000310192e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,Glutamine,0.854322998,0.14,TRUE,147.07642
148.06045,C00025,M+H [1+],2.59999999911997e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,Glutamic acid,0.001100992,-0.39,TRUE,148.06045
174.04079,C01042,M-H [1-],3.40000000278451e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,N-Acetyl-L-aspartic acid,8.76e-06,-1.18,FALSE,174.04079
175.11894,C00062,M+H [1+],3.59999999943739e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,L-Arginine,0.004878018,-1.01,TRUE,175.11894
289.11539,C03406,M-H [1-],6.60000000038963e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,Argininosuccinic acid,0.993377048,-0.04,FALSE,289.11539
291.12996,C03406,M+H [1+],8.40000000152941e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,Argininosuccinic acid,0.000176443,-0.99,TRUE,291.12996
346.05571,C00020,M-H [1-],0.000114000000053238,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,Adenosine monophosphate,1.28e-05,-1.39,FALSE,346.05571
76.03932,C00037,M+H [1+],4.40000000025975e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,Glycine,0.326905645,-0.13,TRUE,76.03932
766.1079,C00010,M-H [1-],2.39999999394058e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,Coenzyme A,0.003192,-1.2,FALSE,766.1079
808.11823,C00024,M-H [1-],0.000293999999939842,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,Acetyl-CoA,0.001821828,-0.79,FALSE,808.11823
87.00877,C00022,M-H [1-],4.5999999997548e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,Pyruvic acid,0.000431622,-1.44,FALSE,87.00877
90.05493,C00041,M+H [1+],4.60000000117589e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,L-Alanine,0.00111173,-0.63,TRUE,90.05493
90.05493,C00099,M+H [1+],4.60000000117589e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,beta-Alanine,0.00111173,-0.63,TRUE,90.05493
90.05493,C00133,M+H [1+],4.60000000117589e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,D-Alanine,0.00111173,-0.63,TRUE,90.05493
90.05495,C00041,M+H [1+],2.60000000054106e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,L-Alanine,1.18e-07,-1.06,TRUE,90.05495
90.05495,C00099,M+H [1+],2.60000000054106e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,beta-Alanine,1.18e-07,-1.06,TRUE,90.05495
90.05495,C00133,M+H [1+],2.60000000054106e-05,Alanine and Aspartate Metabolism,mfn1v10path104,30,Matched.Compound,D-Alanine,1.18e-07,-1.06,TRUE,90.05495
346.05571,C00020,M-H [1-],0.000114000000053238,Alkaloid biosynthesis II,mfn1v10path105,10,Matched.Compound,Adenosine monophosphate,1.28e-05,-1.39,FALSE,346.05571
766.1079,C00010,M-H [1-],2.39999999394058e-05,Alkaloid biosynthesis II,mfn1v10path105,10,Matched.Compound,Coenzyme A,0.003192,-1.2,FALSE,766.1079
146.04588,C00025,M-H [1-],4.40000000025975e-05,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Glutamic acid,0.000116605,1.04,FALSE,146.04588
147.07642,C00064,M+H [1+],4.40000000310192e-05,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Glutamine,0.854322998,0.14,TRUE,147.07642
148.06045,C00025,M+H [1+],2.59999999911997e-05,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Glutamic acid,0.001100992,-0.39,TRUE,148.06045
162.0761,C00329,M-H2O+H [1+],2.35332300064783e-05,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Glucosamine,3.05e-05,-0.9,TRUE,162.0761
166.97508,C00074,M-H [1-],4.40000000310192e-05,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Phosphoenolpyruvic acid,0.124387806,-0.55,FALSE,166.97508
241.01188,C00275,M-H2O-H [1-],0.000570000000010396,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Mannose 6-phosphate,0.000152822,-1.33,FALSE,241.01188
241.01188,C00085,M-H2O-H [1-],0.000570000000010396,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Fructose 6-phosphate,0.000152822,-1.33,FALSE,241.01188
258.03842,C00352,M-H [1-],4.00000004674439e-06,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Glucosamine 6-phosphate,1.16e-06,-1.7,FALSE,258.03842
259.02242,C00275,M-H [1-],3.99999998990097e-06,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Mannose 6-phosphate,2.14e-06,-1.85,FALSE,259.02242
259.02242,C00085,M-H [1-],3.99999998990097e-06,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Fructose 6-phosphate,2.14e-06,-1.85,FALSE,259.02242
259.02243,C00275,M-H [1-],5.99999998485146e-06,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Mannose 6-phosphate,0.312254134,-0.36,FALSE,259.02243
259.02243,C00085,M-H [1-],5.99999998485146e-06,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Fructose 6-phosphate,0.312254134,-0.36,FALSE,259.02243
300.04899,C04501,M-H [1-],3.40000000278451e-05,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,N-Acetyl-glucosamine 1-phosphate,0.000391066,-0.72,FALSE,300.04899
300.04899,C00357,M-H [1-],3.40000000278451e-05,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,N-Acetyl-D-Glucosamine 6-Phosphate,0.000391066,-0.72,FALSE,300.04899
300.04899,C04256,M-H [1-],3.40000000278451e-05,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,C04256,0.000391066,-0.72,FALSE,300.04899
300.04899,C04257,M-H [1-],3.40000000278451e-05,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,N-Acetyl-D-mannosamine 6-phosphate,0.000391066,-0.72,FALSE,300.04899
304.03401,C00055,M-H2O-H [1-],0.00050000000004502,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Cytidine monophosphate,0.139681717,-0.47,FALSE,304.03401
308.09872,C00270,M-H [1-],3.99999998990097e-06,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,N-Acetylneuraminate,1.96e-05,-1.45,FALSE,308.09872
402.99482,C00015,M-H [1-],0.000104000000021642,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Uridine 5'-diphosphate,0.000392552,-1.05,FALSE,402.99482
481.97723,C00063,M-H [1-],5.99999998485146e-06,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Cytidine triphosphate,0.003579543,-0.5,FALSE,481.97723
482.96114,C00075,M-H [1-],8.40000000152941e-05,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Uridine triphosphate,0.002859797,-0.86,FALSE,482.96114
606.07411,C00203,M-H [1-],0.000213999999914449,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Uridine diphosphate-N-acetylgalactosamine,1.54e-05,-1.31,FALSE,606.07411
606.07411,C00043,M-H [1-],0.000213999999914449,Aminosugars metabolism,mfn1v10path106,69,Matched.Compound,Uridine diphosphate-N-acetylglucosamine,1.54e-05,-1.31,FALSE,606.07411
