,Pathway_Total,Hits,P_val,P_adj,NES,,,,,,,,
Nitrogen metabolism,6,4,0.05195,1,1.414,C00025;C00152;C00064;C00049,,,,,C00025 ,glutamic acid,not correct
De novo fatty acid biosynthesis,106,11,0.05376,1,1.479,C00024;C00020;C00010;C01530;C00712;C06424;C00249;C08281;C02679;C00054;C01595,,,,,C00049,aspartate,not correct
Androgen and estrogen biosynthesis and metabolism,95,5,0.1053,1,-1.508,C00015;C00019;C00167;C00054;C00051,,,,,C000152,asparagine,not correct
Vitamin A (retinol) metabolism,67,4,0.1154,1,-1.62,C00167;C00020;C00010;C00015,,,,,C00064,L-glutamine,not correct
Nucleotide Sugar Metabolism,7,4,0.1154,1,-1.717,C00103;C00459;C00167;C00190,,,,,,,
Fatty acid activation,74,10,0.1196,1,1.37,C00020;C00024;C01712;C00010;C00016;C00136;C06424;C00249;C01595;C01530,,,,,C00024,acetly CoA,correct
Hyaluronan Metabolism,8,3,0.1481,1,-1.378,C00015;C00043;C00167,,,,,C00020,AMP,correct
Keratan sulfate degradation,68,4,0.1538,1,-1.44,C00124;C00270;C00015;C00203,,,,,C00010,Coenzym A,correct
C5-Branched dibasic acid metabolism,10,5,0.1579,1,-1.447,C00010;C00024;C00035;C00022;C00044,,,,,C01530,stearic acid,correct
Vitamin B1 (thiamin) metabolism,20,5,0.1579,1,-1.447,C00010;C00024;C00020;C00022;C00026,,,,,C00712,oleic acid,maybe
Fatty Acid Metabolism,63,9,0.1591,1,1.32,C00024;C00318;C02679;C00010;C06424;C00249;C01595;C01530;C00187,,,,,C06424,Myristic acid,not significant but  log2FC >1
CoA Catabolism,7,3,0.1852,1,-1.331,C00010;C00020;C00864,,,,,C00249,palmitic acid,not significant but  log2FC >1
Alkaloid biosynthesis II,10,2,0.2368,1,-1.307,C00010;C00020,,,,,C08281,docosanoi,maybe
Vitamin H (biotin) metabolism,5,2,0.2368,1,-1.297,C00120;C00020,,,,,C02679,lauric acid,not corect
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis,6,2,0.2632,1,-1.287,C00010;C03862,,,,,C00054,adenosin 3.5. biphosphate,not correct
Mono-unsaturated fatty acid beta-oxidation,19,4,0.2692,1,-1.33,C00016;C00024;C00010;C00020,,,,,C01595,linoleic acid,not significant but  log2FC >1
Ubiquinone Biosynthesis,10,4,0.2692,1,-1.33,C00010;C00024;C00020;C00019,,,,,,,
Phytanic acid peroxisomal oxidation,34,4,0.2692,1,-1.33,C00024;C00026;C00020;C00010,,,,,,,
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation,19,4,0.3077,1,-1.205,C00010;C00024;C00016;C00630,,,,,,,
Xenobiotics metabolism,110,10,0.3478,1,1.057,C00054;C00051;C00015;C06424;C00249;C00167;C02679;C14862;C14871;C13645,,,,,,,
Glycosphingolipid biosynthesis - lactoseries,14,6,0.3529,1,-1.056,C00035;C00015;C00325;C00055;C00052;C00203,,,,,,,
Glycosphingolipid biosynthesis - globoseries,16,7,0.3571,1,-1.168,C00035;C00015;C00055;C00052;C00325;C00984;C00203,,,,,,,
Pentose and Glucuronate Interconversions,15,7,0.3571,1,-1.009,C00105;C00015;C00167;C00199;C00800;C00231;C05385,,,,,,,
Vitamin D3 (cholecalciferol) metabolism,16,1,0.3878,1,1.12,C01561,,,,,,,
Fatty acid oxidation,35,3,0.4074,1,-1.13,C00024;C00010;C00016,,,,,,,
Omega-3 fatty acid metabolism,39,3,0.4074,1,-1.13,C00024;C00020;C00010,,,,,,,
Heparan sulfate degradation,34,3,0.4074,1,-1.13,C00024;C00124;C00010,,,,,,,
"Fatty acid oxidation, peroxisome",28,3,0.4074,1,-1.13,C00026;C00024;C00010,,,,,,,
Omega-6 fatty acid metabolism,55,3,0.4074,1,-1.13,C00020;C00024;C00010,,,,,,,
Vitamin B5 - CoA biosynthesis from pantothenate,12,5,0.4211,1,-1.055,C00010;C00020;C00112;C00063;C00864,,,,,,,
Polyunsaturated fatty acid biosynthesis,21,3,0.4267,1,1.06,C00010;C00024;C01530,,,,,,,
Porphyrin metabolism,43,9,0.4318,1,1.013,C05520;C00430;C00010;C00037;C00015;C00016;C00931;C00425;C00167,,,,,,,
Drug metabolism - other enzymes,31,1,0.434,1,-1.061,C16622,,,,,,,
Keratan sulfate biosynthesis,66,5,0.5263,1,-0.995,C00055;C00015;C00054;C00052;C00043,,,,,,,
Putative anti-Inflammatory metabolites formation from EPA,27,2,0.5469,1,0.9893,C00025;C00051,,,,,,,
Trihydroxycoprostanoyl-CoA beta-oxidation,9,1,0.5472,1,-1.029,C00010,,,,,,,
3-oxo-10R-octadecatrienoate beta-oxidation,27,2,0.5526,1,-0.9726,C00024;C00010,,,,,,,
Vitamin B3 (nicotinate and nicotinamide) metabolism,28,9,0.5795,1,0.9285,C00025;C00020;C00062;C00064;C00019;C00153;C00442;C00301;C00049,,,,,,,
R Group Synthesis,7,1,0.5849,1,-0.9729,C00016,,,,,,,
Beta-Alanine metabolism,20,10,0.6087,1,0.9369,C00025;C00010;C00386;C00334;C00099;C00135;C00026;C01013;C00049;C00222,,,,,,,
Vitamin B2 (riboflavin) metabolism,8,3,0.6667,1,-0.8714,C00020;C00016;C00255,,,,,,,
D4&E4-neuroprostanes formation,37,1,0.6735,1,0.9161,C00425,,,,,,,
Glyoxylate and Dicarboxylate Metabolism,12,2,0.7344,1,0.8601,C00111;C00631,,,,,,,
Lipoate metabolism,8,1,0.7347,1,0.8058,C00579,,,,,,,
Butanoate metabolism,34,11,0.7778,1,-0.8197,C00025;C00024;C00026;C00020;C00022;C05548;C03087;C00010;C00016;C00136;C00334,,,,,,,
Saturated fatty acids beta-oxidation,36,7,0.8523,1,0.73,C00024;C02990;C00318;C00010;C00016;C00136;C00249,,,,,,,
Di-unsaturated fatty acid beta-oxidation,26,5,0.8675,1,0.6902,C00024;C00020;C00010;C00016;C01595,,,,,,,
Chondroitin sulfate degradation,37,1,0.8679,1,-0.8293,C00124,,,,,,,
Histidine metabolism,33,13,0.875,1,-0.8964,C00025;C00024;C00026;C00020;C00439;C00099;C00051;C00010;C05828;C00019;C00135;C00222;C00386,,,,,,,
Prostaglandin formation from arachidonate,78,6,0.8824,1,0.6675,C00425;C13856;C00051;C00020;C00010;C00024,,,,,,,
Vitamin B12 (cyanocobalamin) metabolism,9,1,0.8868,1,-0.7974,C00019,,,,,,,
Glutathione Metabolism,19,8,0.9231,1,-0.6062,C01879;C00025;C00127;C03740;C00041;C00051;C00669;C00037,,,,,,,
Arachidonic acid metabolism,95,8,0.9231,1,-0.6062,C00025;C00024;C00020;C00010;C00016;C00127;C00051;C00037,,,,,,,
Glutamate metabolism,15,9,0.9286,1,-0.7013,C00025;C00026;C00127;C00041;C00022;C00334;C00064;C00051;C00669,,,,,,,
Leukotriene metabolism,92,6,0.9529,1,0.5727,C00024;C00020;C00010;C00302;C00051;C00037,,,,,,,
