,Pathway total,Hits.total,Hits.sig,Expected,P(Fisher),P(EASE),P(Gamma),Emp.Hits,Empirical,AdjP.Fisher,AdjP.EASE,AdjP.Gamma,Pathway Number,cpd.hits,,,,,,,,,,,,,cpd.hits
Tryptophan metabolism,94,22,5,1.5975,0.13388,0.2902,0.0036554,2,0.02,1,1,0.164493,P1,C00026,C05647,C00643,C02406,C02700,C00328,C00041,,C00026,2-Ketoglutaric acid,,correct,,C00026;C05647;C00643;C02406;C02700;C00328;C00041
Alanine and Aspartate Metabolism,30,17,4,0.50983,0.15837,0.35903,0.0047722,3,0.03,1,1,0.2099768,P2,C00026,C01042,C00099,C00133,C00402,C00041,C00049,,C00049,L-Aspartate,,not correct,,C00026;C01042;C00099;C00133;C00402;C00041;C00049
Beta-Alanine metabolism,20,10,3,0.33989,0.12263,0.3617,0.0048225,7,0.07,1,1,0.2099768,P3,C00099,C00026,C00049,,,,,,C00085,D-Fructose 6-phosphate,,not correct,,C00099;C00026;C00049
Nucleotide Sugar Metabolism,7,4,2,0.11896,0.080842,0.41508,0.0059583,2,0.02,1,1,0.2502486,P4,C00103,C00190,,,,,,,C00092,D-Glucose 6-phosphate,,not correct,,C00103;C00190
Pentose phosphate pathway,37,25,4,0.62879,0.39773,0.62778,0.014654,6,0.06,1,1,0.600814,P5,C00257,C00092,C12214,C05345,C00085,C01172,C00301,,C00093,sn-Glycerol 3-phosphate,,not correct,,C00257;C00092;C12214;C05345;C00085;C01172;C00301
Glutathione Metabolism,19,8,2,0.32289,0.27112,0.65986,0.016976,24,0.24,1,1,0.67904,P6,C03740,C00041,,,,,,,C00103,D-Glucose 1-phosphate,,not correct,,C03740;C00041
Carbon fixation,10,8,2,0.16994,0.27112,0.65986,0.016976,8,0.08,1,1,0.67904,P7,C00085,C00049,,,,,,,C00190,UDP-D-xylose,,maybe correct ,,C00085;C00049
Vitamin B3 (nicotinate and nicotinamide) metabolism,28,9,2,0.47584,0.3217,0.70324,0.020862,17,0.17,1,1,0.792756,P8,C00301,C00049,,,,,,,C00257,D-Gluconic acid,,correct,,C00301;C00049
Glutamate metabolism,15,9,2,0.25492,0.3217,0.70324,0.020862,29,0.29,1,1,0.792756,P9,C00026,C00041,,,,,,,C00275,D-Mannose 6-phosphate,,not correct,,C00026;C00041
Porphyrin metabolism,43,9,2,0.73076,0.3217,0.70324,0.020862,16,0.16,1,1,0.792756,P10,C05520;C00931,,,,,,,,C00352,D-Glucosamine phosphate,,maybe but most likely not correct (MS2),,C05520;C00931
Hexose phosphorylation,20,12,2,0.33989,0.4663,0.80337,0.035102,6,0.06,1,1,1,P11,C02965;C00275;C00085;C00092;C00352,,,,,,,,C00402,D-Aspartic acid,,not correct,,C02965;C00275;C00085;C00092;C00352
