m.z,mode,t.score,p.value
84.08076,positive,-1.35,0.003900312
280.26351,positive,0.09,0.779408013
282.27915,positive,0.91,0.000425997
518.49313,positive,0.01,0.996980361
520.50894,positive,-1.75,0.011928119
722.51215,positive,0.2,0.041135945
748.52783,positive,0.5,0.000342825
76.03932,positive,-0.13,0.326905645
76.07569,positive,-0.64,0.013124338
83.06036,positive,-1.73,1.12E-05
83.06036,positive,1.25,0.455188033
104.07061,positive,-0.29,0.001126831
86.06002,positive,-0.68,0.009943585
90.05495,positive,-1.06,1.18E-07
90.05493,positive,-0.63,0.00111173
110.02702,positive,-0.97,1.45E-05
97.02839,positive,-0.97,0.002470613
120.06552,positive,-0.22,0.215067167
102.12771,positive,-0.36,0.003793401
104.10698,positive,-1.19,0.000210994
114.06617,positive,-0.67,0.011412968
116.07059,positive,-0.67,0.000192438
131.11789,positive,-0.71,0.000649582
117.06586,positive,-1.28,8.90E-05
123.05529,positive,-1.1,0.004502956
128.07061,positive,0.16,0.591044686
128.0706,positive,-0.71,0.010645162
132.10191,positive,-0.43,0.036112675
132.10191,positive,-0.42,0.054217913
131.0815,positive,-2.34,2.38E-05
131.11789,positive,-0.95,0.000822868
132.07675,positive,-0.96,5.05E-05
132.06552,positive,0.13,0.974431175
144.10193,positive,-1.04,6.06E-05
147.07642,positive,0.14,0.854322998
146.02704,positive,-0.38,0.296155025
148.06045,positive,-0.39,0.001100992
146.11757,positive,-0.96,9.01E-05
146.09246,positive,-2.22,3.44E-07
146.11757,positive,-0.01,0.855053464
146.08119,positive,-1.29,0.000364995
148.0427,positive,-1.08,0.010201226
148.04269,positive,-0.76,0.019507129
148.09681,positive,0.52,0.05012113
168.06551,positive,-0.82,0.000748754
175.11894,positive,-1.01,0.004878018
158.11756,positive,-0.59,0.002238159
160.04266,positive,-0.63,0.146557621
160.09684,positive,-0.42,0.284994646
160.13321,positive,-1.01,4.97E-05
162.0761,positive,-0.9,3.05E-05
162.0761,positive,-0.95,0.000271841
162.11245,positive,-0.88,9.11E-05
164.07398,positive,-0.21,0.174889388
166.04983,positive,0.2,0.207548018
167.09273,positive,-0.64,0.021796585
170.08117,positive,-0.82,0.021088126
168.07675,positive,-0.82,0.003464225
