id	Num_In_Path_Metab	Num_In_Path_Gene	Num_In_Path	Pval_Metab	Pval_combined	Pval	Pval_combined_FDR	Pval_FDR	Pval_combined_Holm	Pval_Holm	Total_In_Path_Metab	Total_In_Path_Gene	Total_In_Path	analytes	pathwayName	pathwaySource	pathwayId	cluster_assignment	metabCount	geneCount	pathCount	OR
			8			0.000001466919		0.000013		0.007191			35	Carnosine  |  AMP  |  beta-alanine  |  NADP  |  ATP  |  S-Adenosylmethionine  |  FAD  |  ADP	Histidine metabolism	kegg	map00340	1			8/35	0.078988
			11			2.551208e-8		5.387432e-7		0.000134			51	AMP  |  Argininosuccinic acid  |  Creatine  |  Ornithine  |  NADP  |  pyruvate  |  L-Arginine  |  ATP  |  S-Adenosylmethionine  |  FAD  |  ADP	Arginine and proline metabolism	kegg	map00330	2			11/51	0.08203
			18			1.19482e-15		7.316284e-13		6.575097e-12			61	AMP  |  Argininosuccinic acid  |  beta-alanine  |  Glutathione  |  NADP  |  pyruvate  |  L-Arginine  |  ATP  |  N-acetyl-L-aspartic acid  |  Adenosine diphosphate ribose  |  GDP  |  Acetyl-CoA  |  FAD  |  GTP  |  ADP  |  GMP  |  biotin  |  Oxidized glutathione	Alanine, aspartate and glutamate metabolism	kegg	map00250	2			18/61	0.048745
			8			1.169083e-7		0.000001760332		0.000602			26	pyruvate  |  ATP  |  GDP  |  Acetyl-CoA  |  FAD  |  GTP  |  ADP  |  biotin	Citric Acid Cycle	kegg	map00020	3			8/26	0.052562
			12			8.322314e-11		7.773606e-9		4.538158e-7			40	AMP  |  Glutathione  |  L-Lactic acid  |  NADP  |  pyruvate  |  ATP  |  GDP  |  Acetyl-CoA  |  FAD  |  GTP  |  ADP  |  biotin	Pyruvate metabolism	kegg	map00620	3			12/40	0.051761
			8			0.000003535323		0.000024		0.016658			39	pyruvate  |  UTP  |  Uridine diphosphate-N-acetylglucosamine  |  ATP  |  D-Fructose  |  Acetyl-CoA  |  ADP  |  Uridine diphosphate glucuronic acid	Amino Sugar Metabolism	kegg	map00520	Did not cluster			8/39	0.090762
			8			3.021977e-7		0.000003918615		0.001537			29	AMP  |  NADP  |  ATP  |  Adenosine diphosphate ribose  |  S-Adenosylmethionine  |  FAD  |  ADP  |  Niacinamide	Nicotinate and nicotinamide metabolism	kegg	map00760	4			8/29	0.061348
			6			0.000002957976		0.000022		0.01416			18	Glutathione  |  NADP  |  ATP  |  FAD  |  ADP  |  Oxidized glutathione	Glutathione metabolism	kegg	map00480	5			6/18	0.047894
			7			0.000001571494		0.000014		0.007691			25	NADP  |  ATP  |  D-Fructose  |  Fructose 1,6-bisphosphate  |  GTP  |  ADP  |  GDP-L-fucose	Fructose and mannose metabolism	kegg	map00051	Did not cluster			7/25	0.060843
			7			5.568039e-8		0.000001016075		0.00029			59	AMP  |  L-Lactic acid  |  pyruvate  |  S-Adenosylmethionine  |  ADP  |  Niacinamide  |  Phosphate	Nicotinate metabolism	reactome	R-HSA-196807	4			7/59	0.041106
			7			1.087291e-8		2.748652e-7		0.000058			47	AMP  |  L-Lactic acid  |  pyruvate  |  S-Adenosylmethionine  |  ADP  |  Niacinamide  |  Phosphate	Nicotinamide salvaging	reactome	R-HSA-197264	4			7/47	0.031585
			4			0.000005330107		0.000033		0.024657			20	AMP  |  Pantothenic acid  |  ADP  |  Phosphate	Vitamin B5 (pantothenate) metabolism	reactome	R-HSA-199220	Did not cluster			4/20	0.022965
			5			0.000002193888		0.000017		0.010524			36	Acetylcholine  |  S-Adenosylmethionine  |  ADP  |  Phosphate  |  Choline	Synthesis of PC	reactome	R-HSA-1483191	Did not cluster			5/36	0.035136
			4			0.000002039015		0.000016		0.009791			16	GDP  |  ADP  |  GMP  |  Phosphate	Ca2+ pathway	reactome	R-HSA-4086398	6			4/16	0.01723
			4			0.000001131718		0.00001		0.005616			14	GDP  |  GTP  |  ADP  |  Phosphate	Response to elevated platelet cytosolic Ca2+	reactome	R-HSA-76005	7			4/14	0.014356
			5			0.00000375825		0.000026		0.017701			40	beta-alanine  |  pyruvate  |  UMP  |  ADP  |  Phosphate	Pyrimidine catabolism	reactome	R-HSA-73621	8			5/40	0.039713
			13			5.353324e-14		1.684625e-11		2.941651e-10			107	AMP  |  beta-alanine  |  pyruvate  |  UTP  |  UMP  |  Xanthine  |  GDP  |  ADP  |  dTTP  |  GMP  |  Phosphate  |  CDP  |  D-Ribulose 5-phosphate	Nucleotide catabolism	reactome	R-HSA-8956319	8, 21			13/107	0.036966
			9			8.099809e-10		4.021446e-8		0.000004374707			78	pyruvate  |  UTP  |  UMP  |  GDP  |  ADP  |  Phosphate  |  CDP  |  N-Acetyl-a-neuraminic acid  |  GDP-L-fucose	Synthesis of substrates in N-glycan biosythesis	reactome	R-HSA-446219	Did not cluster			9/78	0.041355
			4			0.000005330107		0.000033		0.024657			20	AMP  |  GDP  |  ADP  |  Phosphate	Selenocysteine synthesis	reactome	R-HSA-2408557	Did not cluster			4/20	0.022965
